,Area,city,district,Prywatne,Firmowe,Zwierzęta,Winda,Umeblowane,Poziom,Rooms,Parking,Zabudowa,Total_price
4303,52.0,łódź,śródmieście,1,0,0,0,1,1 ,3,brak,apartamentowiec ,3290.0
4304,40.0,łódź,polesie,1,0,0,1,1,8 ,2,garaż,apartamentowiec ,3000.0
4305,40.0,łódź,górna,0,1,0,0,1,3 ,2,brak,blok ,2108.0
4307,42.0,łódź,śródmieście,0,1,0,0,1,2 ,2,brak,apartamentowiec ,3100.0
4309,58.0,łódź,bałuty,1,0,1,0,1,3 ,3,brak,blok ,2900.0
4310,41.0,łódź,śródmieście,0,1,0,1,1,1 ,2,brak,apartamentowiec ,3200.0
4311,39.41,łódź,śródmieście,0,1,0,0,1,3 ,2,ulica,kamienica ,2870.0
4314,17.0,łódź,śródmieście,1,0,1,0,1,4 ,1,brak,kamienica ,1695.0
4315,42.0,łódź,polesie,1,0,0,1,1,5 ,2,ulica,apartamentowiec ,3067.0
4316,37.0,łódź,widzew,1,0,0,1,1,4 ,1,brak,blok ,2100.0
4317,18.0,łódź,bałuty,1,0,0,0,1,1 ,1,ulica,dom wolnostojący ,1700.0
4321,25.75,łódź,śródmieście,0,1,1,1,1,7 ,1,garaż,blok ,1990.0
4324,33.0,łódź,górna,1,0,0,0,1,3 ,1,brak,blok ,950.0
4325,79.0,łódź,polesie,0,1,0,1,1,3 ,3,garaż,kamienica ,99126.0
4326,28.5,łódź,śródmieście,0,1,1,1,1,10 ,1,brak,apartamentowiec ,2400.0
4328,28.0,łódź,górna,0,1,1,1,1,3 ,1,ulica,apartamentowiec ,2400.0
4329,60.0,łódź,polesie,1,0,0,1,1,7 ,3,ulica,blok ,2800.0
4330,20.0,łódź,śródmieście,1,0,0,0,1,1 ,1,brak,kamienica ,1690.0
4331,46.0,łódź,widzew,0,1,1,0,1,4 ,2,brak,blok ,2760.0
4333,12.0,łódź,śródmieście,1,0,1,0,1,4 ,1,brak,kamienica ,1440.0
4335,48.0,łódź,bałuty,1,0,1,1,1,10 ,3,brak,blok ,2750.0
4336,20.0,łódź,bałuty,0,1,0,0,1,4 ,1,brak,kamienica ,1900.0
4341,18.0,łódź,śródmieście,1,0,0,0,1,1 ,1,brak,kamienica ,1800.0
4342,25.6,łódź,śródmieście,1,0,1,1,1,2 ,1,garaż,apartamentowiec ,2060.0
4343,39.0,łódź,śródmieście,1,0,0,1,1,4 ,2,garaż,apartamentowiec ,2300.0
4344,27.0,łódź,bałuty,0,1,1,0,1,parter ,1,brak,blok ,1370.0
4346,55.0,łódź,śródmieście,0,1,0,1,1,powyżej 10 ,3,garaż,apartamentowiec ,3950.0
4347,45.5,łódź,śródmieście,1,0,0,1,1,1 ,2,garaż,apartamentowiec ,2600.0
4349,32.0,łódź,górna,1,0,0,1,1,3 ,1,ulica,apartamentowiec ,2600.0
4353,37.0,łódź,górna,1,0,0,0,0,1 ,2,ulica,blok ,2110.0
4354,45.19,łódź,bałuty,0,1,0,0,1,4 ,2,brak,blok ,2140.0
4355,28.0,łódź,górna,0,1,0,0,1,parter ,1,brak,blok ,1750.0
4356,50.5,łódź,widzew,1,0,0,0,1,4 ,2,brak,blok ,2325.0
